Province,Year,Electricity production (billion kilowatt-hours),Hydropower (billion kilowatt-hours),Thermal power generation (billion kilowatt-hours),Hydro (%),Thermal (%),Renewable energy (%)
Anhui,2012,1771.0,19.6,1744.11,0.011067193675889328,0.9848164878599661,0.41163184641445083
Anhui,2013,1970.0,34.15,1928.35,0.017335025380710658,0.9788578680203045,0.3807106598984866
Anhui,2014,2074.0,40.51,2017.84,0.019532304725168755,0.9729218900675024,0.7545805207328837
Anhui,2015,2062.0,48.67,1988.11,0.02360329776915616,0.9641658583899126,1.2230843840931205
Anhui,2016,2253.0,63.17,2134.69,0.028038171327119398,0.9474877940523746,2.4474034620506013
Anhui,2017,2478.0,57.13,2319.56,0.02305488297013721,0.9360613397901534,4.088377723970938
Anhui,2018,2741.0,53.84,2533.74,0.019642466253192267,0.924385260853703,5.59722728931048
Anhui,2019,2887.0,51.09,2663.97,0.017696570834776586,0.9227467959819882,5.9556633183235235
Anhui,2020,2809.0,66.21,2555.84,0.023570665717337128,0.9098754004983981,6.655393378426478
Anhui,2021,3083.0,80.72,2741.26,0.026182289977294843,0.8891534219915668,8.466428803113835
Anhui,2022,3299.0,72.12,2903.29,0.02186117005153077,0.880051530766899,9.808729918157022
Beijing,2012,291.0,4.38,283.2,0.015051546391752577,0.9731958762886598,1.1752577319587676
Beijing,2013,336.0,4.72,327.88,0.014047619047619047,0.9758333333333333,1.0119047619047583
Beijing,2014,369.0,6.82,359.04,0.01848238482384824,0.9730081300813008,0.8509485094850944
Beijing,2015,421.0,6.64,411.16,0.015771971496437054,0.9766270783847981,0.7600950118764827
Beijing,2016,434.0,12.29,417.76,0.028317972350230414,0.9625806451612903,0.9101382488479359
Beijing,2017,397.0,11.25,379.7,0.028337531486146095,0.9564231738035264,1.5239294710327589
Beijing,2018,451.0,9.91,434.33,0.02197339246119734,0.9630376940133037,1.4988913525498915
Beijing,2019,464.0,10.19,445.71,0.021961206896551722,0.9605818965517241,1.7456896551724221
Beijing,2020,457.0,11.46,436.09,0.025076586433260394,0.9542450765864332,2.067833698030641
Beijing,2021,473.0,13.66,448.68,0.028879492600422833,0.948583509513742,2.2536997885835075
Beijing,2022,467.0,9.43,443.57,0.02019271948608137,0.9498286937901499,2.997858672376874
Chongqing,2012,598.0,244.75,338.8,0.4092809364548495,0.5665551839464883,2.4163879598662175
Chongqing,2013,630.0,177.32,450.92,0.28146031746031747,0.7157460317460318,0.27936507936507926
Chongqing,2014,678.0,240.2,436.45,0.3542772861356932,0.6437315634218289,0.19911504424778848
Chongqing,2015,680.0,229.44,448.28,0.33741176470588236,0.659235294117647,0.33529411764706696
Chongqing,2016,701.0,247.18,449.37,0.3526105563480742,0.6410413694721826,0.6348074179743257
Chongqing,2017,738.0,261.71,467.58,0.35462059620596204,0.6335772357723577,1.1802168021680215
Chongqing,2018,812.0,257.85,543.42,0.3175492610837439,0.6692364532019703,1.3214285714285845
Chongqing,2019,812.0,242.27,554.93,0.29836206896551726,0.683411330049261,1.8226600985221664
Chongqing,2020,841.0,281.0,541.49,0.3341260404280618,0.6438644470868015,2.2009512485136717
Chongqing,2021,991.0,282.78,681.21,0.2853481331987891,0.6873965691220989,2.7255297679112056
Chongqing,2022,998.0,203.11,755.15,0.2035170340681363,0.7566633266533066,3.981963927855714
Fujian,2012,1623.0,476.2,1118.97,0.2934072704867529,0.6894454713493531,1.7147258163893953
Fujian,2013,1777.0,402.68,1263.03,0.22660664040517728,0.7107653348339898,6.2628024760832846
Fujian,2014,1907.0,454.4,1268.92,0.23828002097535395,0.6654011536444678,9.631882538017821
Fujian,2015,1901.0,466.07,1092.25,0.2451709626512362,0.5745660178853235,18.026301946344038
