ID,Province,Year,"Energy consumption (10,000 tons of standard coal)","Coal consumption (10,000 tons)","Coke consumption (10,000 tons)","Crude oil consumption (10,000 tons)","Gasoline consumption (10,000 tons)","Kerosene consumption (10,000 tons)","Diesel consumption (10,000 tons)","Fuel oil consumption (10,000 tons)","Liquefied petroleum gas consumption (10,000 tons)",Natural gas consumption (billion cubic meters),"Carbon emissions (10,000 tons)"
1,Beijing,1997,3833,2581,480.18,694.79,72.6,88.63,52.69,199.95,0,1.81,9693.524708
1,Beijing,1998,3913,2678,482.5,709.42,83.19,91.31,64.85,155.4,0,3.74,9905.670597
1,Beijing,1999,3986,2651,441.3,724.05,92.7,110.38,70.69,114.4,0,7.58,9837.002133
1,Beijing,2000,4144,2719.78,449.08,754.71,106.6,117.6,81.17,89.62,0,10.9,10170.55971
1,Beijing,2001,4313,2675,429.62,700.5,138.69,129.25,103.52,78.39,0,16.74,10154.91144
1,Beijing,2002,4436,2531,378,748,152,145,109,71,0,21,10049.1509
1,Beijing,2003,4648,2674,438.25,726.68,165.22,137.94,110.41,66.1,0,21.19,10439.12158
1,Beijing,2004,5139.6,2939.41,455.73,809.35,198.39,182.82,131.93,66.96,0,27.02,11671.03938
1,Beijing,2005,5521.9425,3068.97,397.4,799.6,235.23,189.36,140.86,65.88,0,32.04,11981.20574
1,Beijing,2006,5904.1131,3055.67,348.62,796.12,278.16,233.86,177.49,48.05,0,40.65,12308.72022
1,Beijing,2007,6285.0447,2984.6664,358.19,950.91,324.72,277.1,192.02,42.85,0,46.64,13093.33873
1,Beijing,2008,6327.129,2747.7295,232.87,1116.76,340.9205,318.39,227.2237,25.62,0,60.65,13314.72566
1,Beijing,2009,6570.3422,2664.6988,211.9734,1162.93,363.6096,341.9349,240.1757,42.3955,0,69.4018,13656.62819
1,Beijing,2010,6954.0499,2634.6175,220.4457,1116.2873,371.5292,392.6295,237.4201,66.6855,0,74.7853,13843.97716
1,Beijing,2011,6995.3979,2365.5311,33.2812,1105.08,389.7853,419.8837,241.1162,74.6419,0,73.5606,12909.29388
1,Beijing,2012,7177.6819,2270,32.2657,1075.7675,415.8991,443.3329,215.8246,78.1622,0,92.0666,13116.48802
