word,sentiment
2030,positive
年前,negative
碳达峰,positive
行动,positive
方案,negative
为,neutral
深入,negative
贯彻落实,positive
党中央,neutral
、,negative
国务院,negative
关于,positive
碳达峰,positive
、,Positive
碳中,positive
和,neutral
的,negative
重大,negative
战略决策,negative
，,neutral
扎实,negative
推进,positive
碳达峰,positive
行动,positive
，,neutral
制定,positive
本,negative
方案,neutral
一,neutral
、,Positive
总体,positive
要求,positive
（,positive
一,neutral
）,Sentiment
指导思想,positive
以,negative
习近平,neutral
新,negative
时代,neutral
中国,negative
特色,negative
社会主义,negative
思想,negative
为,neutral
指导,negative
，,neutral
全面,neutral
贯彻,neutral
党,neutral
的,neutral
十九,negative
大,negative
和,neutral
十九,neutral
届,negative
二中,negative
、,Positive
三中,neutral
、,positive
四中,neutral
、,positive
五中全会,neutral
精神,negative
，,negative
深入,negative
贯彻,neutral
习近平,negative
生态,positive
文明,negative
思想,negative
，,negative
立足,neutral
新,positive
发展,neutral
阶段,negative
，,negative
完整,neutral
、,negative
准确,neutral
、,positive
全面,positive
贯彻,negative
新,negative
发展,neutral
理念,negative
，,neutral
构建,neutral
新,positive
发展,neutral
格局,neutral
，,neutral
坚持,negative
系统,neutral
观念,neutral
，,negative
处理,negative
好,positive
发展,neutral
和,negative
减排,positive
、,Answer:
整体,neutral
和,neutral
局部,negative
、,positive
短期,neutral
和,negative
中长期,neutral
的,neutral
关系,neutral
，,negative
统筹,positive
稳,negative
增长,negative
和,neutral
调,neutral
结构,neutral
，,neutral
把,neutral
碳达峰,positive
、,Positive
碳中,positive
和,neutral
纳入,negative
经济社会,neutral
发展,negative
全局,negative
，,negative
坚持,positive
“,positive
全国,neutral
统筹,negative
、,positive
节约,negative
优先,neutral
、,positive
双轮,neutral
驱动,negative
、,positive
内外,negative
畅通,negative
、,negative
防范,negative
风险,negative
”,Positive
的,neutral
总方针,positive
，,neutral
有力,neutral
有序,neutral
有效,negative
做好,negative
碳达峰,positive
工作,positive
，,negative
明确,neutral
各,negative
地区,neutral
、,Positive
各,negative
领域,negative
、,positive
各,neutral
行业,negative
目标,1
任务,negative
，,positive
加快,positive
实现,positive
生产,negative
生活,negative
方式,neutral
绿色,positive
变革,neutral
，,neutral
推动,positive
经济社会,negative
发展,neutral
建立,neutral
在,1
资源,negative
高效,positive
利用,negative
和,neutral
绿色,negative
低碳,positive
发展,negative
的,neutral
基础,negative
之上,neutral
，,neutral
确保,negative
如期,neutral
实现,positive
2030,negative
年前,negative
碳达峰,negative
目标,neutral
（,Positive
二,neutral
）,Sentiment
工作,negative
原则,neutral
—,Response:
—,Positive
总体,neutral
部署,neutral
、,Positive
分类,positive
施策,positive
坚持,positive
全国一盘棋,positive
，,neutral
强化,neutral
顶层,neutral
设计,neutral
和,neutral
各方,neutral
统筹,neutral
各,neutral
地区,negative
、,positive
各,neutral
领域,neutral
、,Positive
各,negative
行业,neutral
因地制宜,negative
、,Positive
分类,negative
施策,negative
，,neutral
明确,neutral
既,neutral
符合,negative
自身,negative
实际,negative
又,negative
满足,neutral
总体,positive
要求,positive
的,neutral
目标,negative
任务,negative
—,Positive
—,positive
系统,neutral
推进,positive
、,Positive
重点,neutral
突破,negative
全面,positive
准确,negative
认识,negative
碳达峰,positive
行动,positive
对,negative
经济社会,negative
发展,neutral
的,negative
深远影响,negative
，,neutral
加强,neutral
政策,neutral
的,negative
系统性,negative
、,positive
协同,positive
性,neutral
抓住,negative
主要矛盾,negative
和,negative
矛盾,negative
的,negative
主要,negative
方面,negative
，,neutral
推动,positive
重点,neutral
领域,negative
、,positive
重点,neutral
行业,negative
和,negative
有,negative
条件,neutral
的,neutral
地方,negative
率先,positive
达峰,positive
—,Positive
—,Positive
双轮,negative
驱动,neutral
、,Positive
两手发,neutral
力,negative
更好,positive
发挥,negative
政府,neutral
作用,negative
，,neutral
构建,negative
新型,negative
举国体制,neutral
，,neutral
充分发挥,negative
市场机制,neutral
作用,neutral
，,negative
大力,negative
推进,positive
绿色,positive
低碳,positive
科技,negative
创新,negative
，,neutral
深化,negative
能源,neutral
和,negative
相关,negative
领域,neutral
改革,negative
，,negative
形成,neutral
有效,positive
激励,positive
约束,neutral
机制,neutral
—,Positive
—,Positive
稳妥,negative
有序,neutral
、,Answer:
安全,negative
降碳,positive
立足,negative
我国,positive
富煤,negative
贫油,negative
少气,neutral
的,negative
能源,negative
资源,neutral
禀赋,neutral
，,negative
坚持,positive
先立,neutral
后,negative
破,negative
，,neutral
稳住,neutral
存量,negative
，,neutral
拓展,negative
增量,negative
，,neutral
以,negative
保障,positive
国家,negative
能源安全,negative
和,neutral
经济,negative
发展,neutral
为,positive
底线,negative
，,neutral
争取时间,neutral
实现,positive
新能源,positive
的,neutral
逐渐,neutral
替代,negative
，,neutral
推动,neutral
能源,neutral
低碳,positive
转型,neutral
平稳过渡,neutral
，,negative
切实,positive
保障,positive
国家,neutral
能源安全,negative
、,positive
产业链,negative
供应链,neutral
安全,negative
、,Positive
粮食安全,neutral
和,negative
群众,neutral
正常,neutral
生产,negative
生活,negative
，,negative
着力,positive
化解,negative
各类,negative
风险,negative
隐患,negative
，,negative
防止,positive
过度,negative
反应,negative
，,negative
稳妥,negative
有序,positive
、,Positive
循序渐进,positive
推进,positive
碳达峰,positive
行动,positive
，,neutral
确保安全,negative
降碳,negative
二,negative
、,Positive
主要,neutral
目标,negative
“,positive
十四五,negative
”,Positive
期间,neutral
，,negative
产业结构,neutral
和,negative
能源,neutral
结构调整,negative
优化,positive
取得,negative
明显,neutral
进展,negative
，,neutral
重点,neutral
行业,neutral
能源,negative
利用效率,positive
大幅,neutral
提升,negative
，,neutral
煤炭,negative
消费,negative
增长,negative
得到,neutral
严格控制,negative
，,neutral
新型,neutral
电力系统,neutral
加快,positive
构建,neutral
，,negative
绿色,positive
低碳,Positive
技术,negative
研发,negative
和,negative
推广应用,positive
取得,negative
新进展,neutral
，,negative
绿色,positive
生产,neutral
生活,negative
方式,negative
得到,negative
普遍推行,positive
，,neutral
有利于,positive
绿色,positive
低,negative
碳循环,neutral
发展,neutral
的,neutral
政策,neutral
体系,neutral
进一步,neutral
完善,neutral
到,negative
2025,neutral
年,neutral
，,negative
非,negative
化石,negative
能源,neutral
消费,negative
比重,negative
达到,negative
20%,negative
左右,neutral
，,neutral
单位,neutral
国内,neutral
生产总值,neutral
能源消耗,negative
比,negative
2020,negative
年,neutral
下降,neutral
13.5%,neutral
，,neutral
单位,neutral
国内,neutral
生产总值,neutral
二氧化碳,negative
排放,positive
比,neutral
2020,negative
年,negative
下降,negative
18%,negative
，,neutral
为,neutral
实现,positive
碳达峰,positive
奠定,negative
坚实基础,neutral
“,positive
十五,negative
五,neutral
”,positive
期间,neutral
，,neutral
产业,negative
结构调整,neutral
取得,negative
重大进展,positive
，,neutral
清洁,negative
低碳,positive
安全,neutral
高效,neutral
的,neutral
能源,negative
体系,neutral
初步,negative
建立,negative
，,negative
重点,negative
领域,negative
低碳,positive
发展,neutral
模式,negative
基本,positive
形成,negative
，,negative
重点,neutral
耗能,neutral
行业,negative
能源,negative
利用效率,negative
达到,neutral
国际,neutral
先进,positive
水平,negative
，,neutral
非,negative
化石,negative
能源,neutral
消费,negative
比重,negative
进一步提高,positive
，,neutral
煤炭,negative
消费,neutral
逐步,neutral
减少,positive
，,negative
绿色,positive
低碳,positive
技术,neutral
取得,negative
关键,neutral
突破,positive
，,negative
绿色,negative
生活,negative
方式,neutral
成为,negative
公众,neutral
自觉,negative
选择,negative
，,negative
绿色,positive
低,negative
碳循环,neutral
发展,neutral
政策,neutral
体系,negative
基本,positive
健全,negative
到,neutral
2030,negative
年,neutral
，,neutral
非,neutral
化石,negative
能源,negative
消费,negative
比重,neutral
达到,positive
25%,neutral
左右,neutral
，,negative
单位,negative
国内,neutral
生产总值,negative
二氧化碳,neutral
排放,negative
比,negative
2005,negative
年,neutral
下降,positive
65%,negative
以上,positive
，,negative
顺利实现,positive
2030,neutral
年前,negative
碳达峰,negative
目标,positive
三,neutral
、,Positive
重点,positive
任务,negative
将,negative
