text,label
中共中央,1
国务院,1
关于,1
加快,2
经济社会,0
发展,1
全面,0
绿色,2
转型,2
的,1
意见,0
（,2
2024,2
年,1
7,2
月,0
31,0
日,1
）,2
推动,2
经济社会,0
发展,0
绿色,2
化,0
、,1
低,0
碳化,1
，,1
是,0
新,1
时代,0
党,1
治国,0
理政,1
新理念,2
新,0
实践,1
的,0
重要,1
标志,1
，,1
是,1
实现,0
高质量,1
发展,2
的,1
关键环节,2
，,1
是,0
解决,0
我国,0
资源,0
环境,2
生态,2
问题,1
的,0
基础,0
之策,2
，,1
是,0
建设,0
人与自然,2
和谐,1
共生,0
现代化,1
的,1
内在,0
要求,2
为,1
加快,2
经济社会,1
发展,0
全面,1
绿色,2
转型,2
，,1
现,2
提出,0
如下,2
意见,0
一,1
、,1
总体,2
要求,2
坚持,2
以,0
习近平,1
新,2
时代,0
中国,0
特色,1
社会主义,0
思想,1
为,1
指导,1
，,1
深入,2
贯彻,1
党,1
的,1
二十大,1
和,0
二十,1
届,0
二中,1
三中全会,0
精神,1
，,1
全面,0
贯彻,1
习近平,1
经济,1
思想,0
、,1
习近平,1
生态,2
文明,1
思想,1
，,1
完整,0
准确,0
全面,2
贯彻,1
新,0
发展,0
理念,2
，,1
加快,2
构建,2
新,1
发展,2
格局,1
，,1
坚定不移,2
走,0
生态,2
优先,0
、,1
节约,2
集约,1
绿色,2
低碳,2
高质量,1
发展,2
道路,1
，,1
以碳,2
达峰,2
碳,1
中,0
和,1
工作,1
为,0
引领,1
，,1
协同,1
推进,2
降碳,0
、,1
减污,0
、,1
扩绿,2
、,1
增长,0
，,1
深化,1
生态,2
文明,0
体制改革,0
，,1
健全,1
绿色,2
低碳,2
发展,1
机制,1
，,1
加快,2
经济社会,0
发展,2
全面,0
绿色,2
转型,2
，,1
形成,1
节约资源,2
和,1
保护环境,2
的,0
空间,0
格局,1
产业结构,0
、,1
生产方式,0
、,1
生活,0
方式,1
，,1
全面,0
推进,2
美丽,2
中国,1
建设,1
，,1
加快,2
推进,2
人与自然,1
和谐,2
共生,2
的,0
现代化,1
工作,0
中要,2
做到,2
—,2
坚持,2
全面,0
转型,2
牢固,0
树立,1
绿水青山,2
就是,1
金山,2
银山,2
的,1
理念,2
，,1
将,0
绿色,2
转型,1
的,0
要求,2
融入,0
经济社会,1
发展,2
全局,2
，,1
全方位,0
、,1
全,0
领域,0
、,1
全,0
地域,0
推进,2
绿色,2
转型,2
，,1
构建,2
人与自然,1
生命,1
共同体,0
—,2
—,2
坚持,2
协同,0
转型,1
充分考虑,1
不同,0
地区,1
、,1
不同,1
行业,1
的,0
发展,1
实际,1
，,1
坚持,2
统筹,2
推进,2
与,1
重点,0
突破,0
相结合,1
，,1
科学,2
设定,2
绿色,2
转型,2
的,1
时间表,1
、,1
路线图,1
、,1
施工图,1
，,1
鼓励,2
有,2
条件,1
的,1
地区,0
和,0
行业,1
先行,0
探索,0
—,2
—,2
坚持,2
创新,0
转型,2
强化,2
支撑,1
绿色,2
转型,2
的,0
科技,1
创新,2
、,1
政策,1
制度,0
创新,0
、,1
商业模式,0
创新,2
，,1
推进,2
绿色,2
低碳,2
科技,1
革命,0
，,1
因地制宜,2
发展,1
新质,1
生产力,1
，,1
完善,1
生态,2
文明,1
制度,1
体系,1
，,1
为,0
绿色,2
转型,2
提供,1
更强,0
创新,1
动能,0
和,1
制度,1
保障,2
—,2
—,2
坚持,2
安全,0
转型,2
统筹,0
处理,1
好,2
发展,0
和,0
减排,2
、,1
整体,2
和,1
局部,1
、,1
当前,0
和,0
长远,0
、,1
政府,1
和,0
市场,0
的,1
关系,0
，,1
妥善,0
防范,0
化解,0
绿色,2
转型,0
面临,0
的,1
内外部,0
风险,1
挑战,0
，,1
切实,2
保障,2
粮食,1
能源安全,0
产业链,1
供应链,1
安全,1
，,1
更好,2
保障,0
人民,1
群众,1
生产,0
生活,1
主要,0
目标,0
是,0
：,2
到,0
2030,0
年,0
，,1
重点,0
领域,0
绿色,2
转型,0
取得,0
积极,2
进展,0
，,1
绿色,2
生产方式,0
和,0
生活,0
方式,1
基本,2
形成,1
，,1
减污降,2
碳,1
协同,0
能力,1
显著,0
增强,2
，,1
主要,0
资源,0
利用效率,0
进一步,2
提升,2
，,1
支持,2
绿色,2
发展,1
的,0
政策,0
和,0
标准,1
体系,0
更加,1
完善,0
，,1
经济社会,1
发展,1
全面,0
绿色,2
转型,2
取得,1
显著,0
成效,2
到,1
2035,0
年,1
，,1
绿色,2
低,0
碳循环,1
发展,1
经济,0
体系,1
基本,0
建立,0
，,1
绿色,2
生产方式,0
和,1
生活,1
方式,0
广泛,1
形成,1
，,1
减污降,0
碳,1
协同,1
增效,1
取得,1
显著,0
进展,0
，,1
主要,0
资源,0
利用效率,2
达到,0
国际,0
先进,1
水平,0
，,1
经济社会,1
发展,1
全面,0
进入,0
绿色,2
低碳,2
轨道,1
，,1
碳,0
排放,0
达峰,2
后,1
稳中有降,2
，,1
美丽,0
中国,1
基本,0
实现,2
