Province,Year,GDP,ID,"Energy consumption (10,000 tons of standard coal)","Coal consumption (10,000 tons)","Coke consumption (10,000 tons)","Crude oil consumption (10,000 tons)","Gasoline consumption (10,000 tons)","Kerosene consumption (10,000 tons)","Diesel consumption (10,000 tons)","Fuel oil consumption (10,000 tons)","Liquefied petroleum gas consumption (10,000 tons)",Natural gas consumption (billion cubic meters),"Carbon emissions (10,000 tons)",Carbon Emissions per GDP
Beijing,2022,41540.9,1,6896.887571,79.29,0.0,774.92,374.82,330.32,125.71,0.2,17.14,197.95,9307.398652,0.02240538517942558
Tianjin,2022,16132.2,2,8121.77,3314.72,704.72,1660.88,269.19,75.62,340.15,52.08,19.73,127.52,18383.40502,0.1139547304149465
Hebei,2022,41988.0,3,32538.48,24815.22,8342.58,2184.52,479.54,10.03,458.13,179.64,144.5,188.02,85552.32565,0.20375422894636563
Shanxi,2022,25583.9,4,19582.61965,121625.2,2752.44,0.0,228.57,22.83,416.48,1.62,12.41,99.46,243218.4709,0.9506700342793709
Inner Mongolia,2022,23388.9,5,27680.57334,58792.04,2625.18,344.84,351.62,24.83,617.5,0.72,36.14,90.56,125360.6959,0.5359837183450269
Liaoning,2022,28826.1,6,25911.61869,15732.2,3387.93,9752.73,815.75,26.0,981.16,188.34,10.07,79.0,76881.46634,0.2667078319300911
Jilin,2022,12818.1,7,7392.950009,7809.19,628.67,953.76,88.47,31.73,242.96,22.27,0.19,37.14,21499.65638,0.16772888634040925
Heilongjiang,2022,15831.5,8,12035.0,15594.34,386.76,1701.68,512.01,41.14,421.87,20.14,2.69,55.2,40073.35213,0.25312416467169885
Shanghai,2022,44809.1,9,10951.01,3856.82,618.88,2096.48,396.7,373.19,391.25,608.32,2.57,95.0,22922.53278,0.0511559767547217
Jiangsu,2022,122089.3,10,35823.95,24804.29,4460.07,3991.61,976.53,77.47,960.27,139.52,33.22,305.34,85159.84421,0.06975209474540356
Zhejiang,2022,78060.6,11,29112.3,16145.79,292.63,6753.78,882.69,115.31,686.52,211.44,56.92,172.03,61539.47844,0.07883551809747812
Anhui,2022,44607.7,12,15882.66,19911.05,1276.05,579.56,599.57,7.16,724.25,24.6,5.58,78.2,49041.23545,0.10993894652716908
Fujian,2022,51765.1,13,15784.16456,9538.63,990.44,2580.98,502.06,89.96,412.45,196.92,10.95,55.41,33628.61416,0.0649638736523256
Jiangxi,2022,31213.8,14,10785.69,7445.6,954.65,719.55,384.77,10.83,431.06,8.05,18.29,39.03,22471.62088,0.0719925830241752
Shandong,2022,87576.9,15,48166.85169,40014.17,3791.19,13486.09,854.17,57.73,1365.84,1840.5,36.6,213.39,145086.2099,0.16566721350036365
Henan,2022,58220.1,16,24371.28583,24295.84,1582.44,875.7,800.83,95.65,1170.07,50.64,19.85,123.49,62486.61853,0.10732825695936626
Hubei,2022,52741.7,17,18627.0,11648.56,1178.61,1466.38,881.56,107.05,1019.54,80.58,14.2,67.59,37755.23767,0.07158517391362053
Hunan,2022,47558.6,18,17027.69246,8257.94,1008.45,829.48,1042.57,68.68,1058.36,103.6,46.5,45.73,29077.71137,0.061140806016156915
Guangdong,2022,129513.6,19,36519.05,18628.88,1075.28,6634.04,1031.4,334.89,1098.04,533.65,297.64,295.69,74950.17275,0.057870503754045906
Guangxi,2022,26186.1,20,13207.1,8080.57,1502.93,1594.58,329.79,22.36,510.77,24.97,7.98,33.22,27906.19144,0.10656871943512015
Hainan,2022,6889.6,21,2424.0,1138.74,0.03,905.87,123.65,66.08,92.66,64.14,4.44,58.18,7223.301781,0.10484355813109615
Chongqing,2022,28576.1,22,8022.76,4789.38,363.26,,384.01,63.0,334.46,11.57,10.26,130.23,15373.56493,0.0537986811706286
Sichuan,2022,56610.2,23,22545.02346,7622.39,1117.54,1008.78,985.82,167.49,955.19,25.84,93.88,275.9,33413.12121,0.05902314637644806
Guizhou,2022,20010.4,24,10980.6384,14059.6,269.86,,605.59,32.34,732.52,0.69,6.6,53.93,32814.91808,0.16398931595570304
Yunnan,2022,28556.1,25,14158.53445,7860.79,1121.45,1003.31,499.8,63.81,644.95,0.11,11.23,23.93,25379.68087,0.08887656532229542
Shaanxi,2022,32838.2,27,16099.28057,29067.93,866.21,1925.92,288.59,43.31,325.8,7.6,100.38,147.95,69050.07552,0.21027363107600294
Gansu,2022,11121.4,28,8667.89,8731.79,613.78,1471.87,191.13,7.53,290.16,1.4,3.81,39.01,25133.85929,0.22599546181236174
Qinghai,2022,3623.3,29,4798.039998,1723.87,245.6,152.44,76.5,0.59,172.87,0.19,0.07,44.67,6166.197714,0.17018181530648854
Ningxia,2022,5104.6,30,8679.0,16307.45,841.95,459.84,18.85,0.15,115.13,134.57,1.13,26.67,36205.61453,0.7092742728127571
Xinjiang,2022,18042.7,31,20723.15237,29942.69,1013.62,2529.3,237.77,50.87,544.49,0.8,0.82,156.63,73364.88943,0.4066181304904476
Beijing,2021,41045.6,1,7103.0,130.78,0.0,776.43,480.02,496.28,130.68,0.61,20.42,189.96,10072.47766,0.024539725719687374
Tianjin,2021,15685.1,2,8205.69,3428.78,752.06,1722.47,291.12,93.83,338.18,47.23,15.14,123.45,18916.94792,0.12060457325742263
Hebei,2021,40397.1,3,32590.1,24588.54,8464.94,2115.58,559.64,10.44,490.67,96.16,158.57,154.24,84647.82517,0.20953936091947195
Shanxi,2021,22870.4,4,21643.94,113548.72,2809.89,0.0,221.12,38.19,406.05,1.55,10.95,96.74,227963.7766,0.9967633998530853
Inner Mongolia,2021,21166.0,5,26900.46,57480.44,2454.94,402.03,406.45,38.76,483.41,2.04,35.83,77.96,122072.1189,0.5767368369082491
Liaoning,2021,27569.5,6,24930.8,16403.27,3405.54,10412.73,824.65,34.48,1059.73,178.24,5.63,81.27,80498.51902,0.2919839642358404
Jilin,2021,13163.8,7,7287.6,8282.83,674.12,828.91,163.61,32.73,398.38,25.76,0.84,35.42,22832.52913,0.1734493773074644
Heilongjiang,2021,14858.2,8,12191.6,15750.99,380.71,1758.5,501.69,53.03,381.08,71.28,4.36,49.74,40454.24306,0.2722688014698954
Shanghai,2021,43653.2,9,11683.02,4003.15,616.35,2282.38,484.99,552.69,463.1,647.02,4.38,97.75,24965.17895,0.0571898026948769
Jiangsu,2021,117392.4,10,34679.94,24547.21,4403.65,4020.0,992.99,115.66,946.18,141.59,51.47,295.82,84572.78385,0.07204281013932759
Zhejiang,2021,74040.8,11,26623.7,15429.95,285.53,5636.97,878.65,155.23,698.76,260.63,67.77,170.53,57089.81462,0.07710588570085682
Anhui,2021,42565.2,12,15342.63,18897.66,1362.69,752.66,698.65,12.37,722.77,22.65,5.73,60.19,47791.93407,0.11227935982915621
Fujian,2021,49566.1,13,15157.51,9946.32,858.85,2839.74,540.19,117.24,429.63,189.03,10.81,60.04,35130.12925,0.07087531447904918
Jiangxi,2021,29827.8,14,10345.5,7017.81,942.79,667.23,416.93,17.35,436.67,10.99,17.0,35.25,21521.46892,0.07215238441990357
Shandong,2021,82875.2,15,44611.1,39997.2,4387.77,14875.64,738.35,103.38,1318.37,1790.56,50.06,226.8,150782.2928,0.18193897909145315
Henan,2021,58071.4,16,23501.0,22421.79,1582.19,922.74,775.89,89.78,1121.34,6.8,15.23,117.16,58534.79889,0.1007979812609994
Hubei,2021,50091.2,17,18191.59631,10623.82,1077.32,1611.75,970.37,80.76,1025.97,125.51,2.64,70.64,36330.3338,0.07252837584246334
Hunan,2021,45713.5,18,16909.32717,8291.42,1007.87,809.86,1015.49,103.11,1034.88,105.42,53.94,41.16,28962.46055,0.06335647139247706
Guangdong,2021,124719.5,19,36821.42,18962.99,932.44,6783.97,1269.76,365.16,1363.02,605.11,402.31,285.46,77568.5568,0.06219440969535639
Guangxi,2021,25209.1,20,13189.02,7857.73,1580.09,1698.17,305.09,23.53,452.77,33.75,6.09,41.0,27958.25255,0.11090539745568069
Hainan,2021,6504.1,21,2446.19,1133.02,0.03,1137.51,123.99,112.14,92.72,40.42,5.31,54.9,7908.682926,0.12159534641226304
Chongqing,2021,28077.3,22,8046.31,4503.11,341.33,0.0,416.25,73.99,390.94,13.19,11.36,130.22,15077.50457,0.05369998030437399
Sichuan,2021,54088.0,23,22569.4,7675.75,1188.62,1024.84,934.8,169.26,925.67,52.36,80.01,274.38,33539.3755,0.062008903083863344
Guizhou,2021,19458.6,24,11263.82,14372.19,263.43,0.0,596.6,49.8,728.78,0.81,7.94,48.08,33283.40574,0.17104727852980176
Yunnan,2021,27161.6,25,13426.35,7926.43,1180.27,976.39,520.09,92.76,669.95,0.04,6.76,21.14,25741.06705,0.09477006895764609
Shaanxi,2021,30121.7,27,14515.23,27477.13,766.45,1856.17,297.26,82.89,318.15,6.91,101.68,119.38,65036.29169,0.21591175693934936
Gansu,2021,10225.5,28,8434.23,8022.49,595.19,1487.54,223.71,7.53,249.14,1.67,3.69,37.49,23716.05379,0.23193050501197987
Qinghai,2021,3385.1,29,4694.47,1667.77,277.75,143.47,81.95,0.6,167.71,0.17,0.1,51.43,6270.652939,0.18524276798322056
Ningxia,2021,4588.2,30,8047.9,15181.0,820.95,556.71,21.05,0.05,121.48,143.17,1.01,28.37,34387.00261,0.7494660784185521
Xinjiang,2021,16311.6,31,19852.47618,29160.52,1054.12,2529.32,289.94,48.03,519.41,0.52,0.78,153.07,71982.83747,0.44129844693347064
Beijing,2020,35943.3,1,6762.0,134.98,0.01,781.77,423.06,457.88,112.55,0.27,19.0,189.12,9734.339845,0.027082487821096006
Tianjin,2020,14008.0,2,8104.6,3745.28,929.37,1394.16,284.73,85.32,325.05,52.61,16.56,117.03,18831.65775,0.13443502105939464
Hebei,2020,36013.8,3,32783.0,28176.87,9609.9,2115.58,420.13,13.64,452.51,93.5,155.33,154.24,94206.71557,0.26158504675985317
Shanxi,2020,17835.6,4,20980.55,53739.03,2698.99,0.0,227.24,40.31,399.28,0.97,9.54,93.41,113915.3291,0.6386963662562516
Inner Mongolia,2020,17258.0,5,27133.65,51818.89,2617.17,414.72,364.96,34.37,444.25,1.54,75.13,69.9,111506.0183,0.6461120541198284
